,Unnamed: 0,Police_Force_Name,Year,Quarter,Detailed_Offence_Description,Offence_Group,Offence_Subgroup,Number_of_Arrests,Arrests_Ranked,Level_of_Lockdown,Region
74818,74818,North Wales,2021,3,Homicide,Violence against the person,Homicide,3,(-0.001. 20.0],Low,South West
76764,76764,Nottinghamshire,2021,3,Homicide,Violence against the person,Homicide,2,(-0.001. 20.0],Low,East Midlands
77351,77351,South Wales,2021,3,Homicide,Violence against the person,Homicide,4,(-0.001. 20.0],Low,South West
77956,77956,South Yorkshire,2021,3,Homicide,Violence against the person,Homicide,3,(-0.001. 20.0],Low,East Midlands
78668,78668,Staffordshire,2021,3,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],Low,West Midlands
79231,79231,Suffolk,2021,3,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],Low,East Midlands
80358,80358,Sussex,2021,3,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],Low,South East
80942,80942,Thames Valley,2021,3,Homicide,Violence against the person,Homicide,2,(-0.001. 20.0],Low,South East
81528,81528,Warwickshire,2021,3,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],Low,West Midlands
81943,81943,West Mercia,2021,3,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],Low,South West
81944,81944,West Mercia,2021,3,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],Low,South West
82487,82487,West Midlands,2021,3,Homicide,Violence against the person,Homicide,7,(-0.001. 20.0],Low,West Midlands
83113,83113,West Yorkshire,2021,3,Homicide,Violence against the person,Homicide,3,(-0.001. 20.0],Low,East Midlands
84135,84135,Avon and Somerset,2021,1,Homicide,Violence against the person,Homicide,3,(-0.001. 20.0],Medium,South West
84421,84421,Cheshire,2021,1,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],Medium,West Midlands
84489,84489,Cleveland,2021,1,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],Medium,North
84550,84550,Cumbria,2021,1,Homicide,Violence against the person,Homicide,3,(-0.001. 20.0],Medium,North
84603,84603,Derbyshire,2021,1,Homicide,Violence against the person,Homicide,2,(-0.001. 20.0],Medium,West Midlands
84677,84677,Devon and Cornwall,2021,1,Homicide,Violence against the person,Homicide,2,(-0.001. 20.0],Medium,South West
84920,84920,Essex,2021,1,Homicide,Violence against the person,Homicide,2,(-0.001. 20.0],Medium,South East
85068,85068,Greater Manchester,2021,1,Homicide,Violence against the person,Homicide,7,(-0.001. 20.0],Medium,West Midlands
85243,85243,Hampshire,2021,1,Homicide,Violence against the person,Homicide,3,(-0.001. 20.0],Medium,South East
85481,85481,Kent,2021,1,Homicide,Violence against the person,Homicide,0,(-0.001. 20.0],Medium,South East
85586,85586,Lancashire,2021,1,Homicide,Violence against the person,Homicide,2,(-0.001. 20.0],Medium,West Midlands
85672,85672,Leicestershire,2021,1,Homicide,Violence against the person,Homicide,2,(-0.001. 20.0],Medium,East Midlands
85766,85766,Lincolnshire,2021,1,Homicide,Violence against the person,Homicide,2,(-0.001. 20.0],Medium,East Midlands
85852,85852,Merseyside,2021,1,Homicide,Violence against the person,Homicide,2,(-0.001. 20.0],Medium,West Midlands
85930,85930,Metropolitan Police,2021,1,Homicide,Violence against the person,Homicide,4,(-0.001. 20.0],Medium,South East
86330,86330,Northumbria,2021,1,Homicide,Violence against the person,Homicide,2,(-0.001. 20.0],Medium,North
86488,86488,South Wales,2021,1,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],Medium,South West
86563,86563,South Yorkshire,2021,1,Homicide,Violence against the person,Homicide,2,(-0.001. 20.0],Medium,East Midlands
86645,86645,Staffordshire,2021,1,Homicide,Violence against the person,Homicide,2,(-0.001. 20.0],Medium,West Midlands
86866,86866,Sussex,2021,1,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],Medium,South East
87042,87042,Warwickshire,2021,1,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],Medium,West Midlands
87097,87097,West Mercia,2021,1,Homicide,Violence against the person,Homicide,2,(-0.001. 20.0],Medium,South West
87167,87167,West Midlands,2021,1,Homicide,Violence against the person,Homicide,2,(-0.001. 20.0],Medium,West Midlands
87262,87262,West Yorkshire,2021,1,Homicide,Violence against the person,Homicide,4,(-0.001. 20.0],Medium,East Midlands
88865,88865,Cambridgeshire,2021,1,Homicide,Violence against the person,Homicide,3,(-0.001. 20.0],Medium,East Midlands
89419,89419,Cheshire,2021,1,Homicide,Violence against the person,Homicide,2,(-0.001. 20.0],Medium,West Midlands
89973,89973,Cleveland,2021,1,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],Medium,North
91620,91620,Devon and Cornwall,2021,1,Homicide,Violence against the person,Homicide,3,(-0.001. 20.0],Medium,South West
92718,92718,Durham,2021,1,Homicide,Violence against the person,Homicide,2,(-0.001. 20.0],Medium,North
93291,93291,Dyfed-Powys,2021,1,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],Medium,South West
93292,93292,Dyfed-Powys,2021,1,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],Medium,South West
93772,93772,Essex,2021,1,Homicide,Violence against the person,Homicide,2,(-0.001. 20.0],Medium,South East
93773,93773,Essex,2021,1,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],Medium,South East
94958,94958,Greater Manchester,2021,1,Homicide,Violence against the person,Homicide,4,(-0.001. 20.0],Medium,West Midlands
94959,94959,Greater Manchester,2021,1,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],Medium,West Midlands
94960,94960,Greater Manchester,2021,1,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],Medium,West Midlands
95882,95882,Gwent,2021,1,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],Medium,South West
95883,95883,Gwent,2021,1,Homicide,Violence against the person,Homicide,2,(-0.001. 20.0],Medium,South West
96367,96367,Hampshire,2021,1,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],Medium,South East
96998,96998,Hertfordshire,2021,1,Homicide,Violence against the person,Homicide,2,(-0.001. 20.0],Medium,South East
97514,97514,Humberside,2021,1,Homicide,Violence against the person,Homicide,3,(-0.001. 20.0],Medium,East Midlands
98119,98119,Kent,2021,1,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],Medium,South East
98796,98796,Lancashire,2021,1,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],Medium,West Midlands
