,Police_Force_Name,Year,Quarter,Offence_Group,Number_of_Arrests,Arrests_Ranked,Region,Level_of_Lockdown
90314,Cleveland,2021,1,Criminal damage and arson,11,(-0.001. 20.0],North,Medium
86095,Norfolk,2021,1,Violence against the person,12,(-0.001. 20.0],East Midlands,Medium
103725,North Yorkshire,2021,1,Criminal damage and arson,2,(-0.001. 20.0],North,Medium
110108,Warwickshire,2021,1,Violence against the person,5,(-0.001. 20.0],West Midlands,Medium
25998,West Mercia,2020,1,Theft offences,1,(-0.001. 20.0],South West,High
73129,Merseyside,2021,3,Theft offences,2,(-0.001. 20.0],West Midlands,Medium
53258,Thames Valley,2019,1,Criminal damage and arson,1,(-0.001. 20.0],South East,No Lockdown
96462,Hampshire,2021,1,Sexual offences,1,(-0.001. 20.0],South East,Medium
77805,South Wales,2021,3,Violence against the person,1,(-0.001. 20.0],South West,Medium
74771,Norfolk,2021,3,Drug offences,60,(40.0. 60.0],East Midlands,Medium
109698,Thames Valley,2021,1,Theft offences,13,(-0.001. 20.0],South East,Medium
50601,Staffordshire,2019,1,Violence against the person,3,(-0.001. 20.0],West Midlands,No Lockdown
49969,South Yorkshire,2019,1,Theft offences,37,(20.0. 40.0],East Midlands,No Lockdown
57798,Dyfed-Powys,2021,3,Theft offences,7,(-0.001. 20.0],South West,Medium
53153,Thames Valley,2019,1,Public order offences,1,(-0.001. 20.0],South East,No Lockdown
26510,West Midlands,2020,1,Sexual offences,10,(-0.001. 20.0],West Midlands,High
72263,Leicestershire,2021,3,Public order offences,2,(-0.001. 20.0],East Midlands,Medium
79172,Staffordshire,2021,3,Violence against the person,2,(-0.001. 20.0],West Midlands,Medium
3233,Bedfordshire,2020,1,Theft offences,9,(-0.001. 20.0],South East,High
386,Devon and Cornwall,2020,1,Criminal damage and arson,10,(-0.001. 20.0],South West,High
99345,Lancashire,2021,1,Violence against the person,3,(-0.001. 20.0],West Midlands,Medium
47370,Northumbria,2019,1,Criminal damage and arson,15,(-0.001. 20.0],North,No Lockdown
36382,Gloucestershire,2019,1,Sexual offences,1,(-0.001. 20.0],South West,No Lockdown
38518,Hampshire,2019,1,Sexual offences,47,(40.0. 60.0],South East,No Lockdown
108072,Suffolk,2021,1,Violence against the person,2,(-0.001. 20.0],East Midlands,Medium
21574,South Yorkshire,2020,1,Theft offences,2,(-0.001. 20.0],East Midlands,High
51123,Suffolk,2019,1,Sexual offences,2,(-0.001. 20.0],East Midlands,No Lockdown
54457,West Mercia,2019,1,Public order offences,130,(120.0. 140.0],South West,No Lockdown
60518,West Mercia,2021,3,Public order offences,175,(160.0. 180.0],South West,Medium
40778,Lancashire,2019,1,Criminal damage and arson,8,(-0.001. 20.0],West Midlands,No Lockdown
17209,Norfolk,2020,1,Theft offences,1,(-0.001. 20.0],East Midlands,High
19733,Northumbria,2020,1,Public order offences,30,(20.0. 40.0],North,High
10482,Gwent,2020,1,Theft offences,5,(-0.001. 20.0],South West,High
44512,Metropolitan Police,2019,1,Sexual offences,43,(40.0. 60.0],South East,No Lockdown
70944,Kent,2021,3,Public order offences,3,(-0.001. 20.0],South East,Medium
38160,Hampshire,2019,1,Theft offences,1,(-0.001. 20.0],South East,No Lockdown
63691,Cumbria,2021,3,Violence against the person,1,(-0.001. 20.0],North,Medium
37906,Gwent,2019,1,Theft offences,89,(80.0. 100.0],South West,No Lockdown
37578,Gwent,2019,1,Violence against the person,61,(60.0. 80.0],South West,No Lockdown
88493,Bedfordshire,2021,1,Public order offences,1,(-0.001. 20.0],South East,Medium
